연도,역명,승차총승객수,하차총승객수,총이용량
2022,홍대입구,49697,48109,97806
2022,이대,6231,6835,13066
2022,아현,4821,4879,9700
2022,충정로,3636,3917,7553
2022,용답,1515,1540,3055
2022,신설동,3054,3101,6155
2022,양천구청,3011,3237,6248
2022,용두,1133,1153,2286
2022,당산,17546,20313,37859
2022,삼성,53146,52136,105282
2022,강남,88930,85584,174514
2022,교대,34233,38193,72426
2022,방배,15842,16561,32403
2022,사당,34328,37450,71778
2022,아현,9613,9436,19049
2022,시청,23726,22148,45874
2022,신당,13035,13586,26621
2022,상왕십리,13947,13984,27931
2022,왕십리,14705,12345,27050
2022,한양대,6873,7136,14009
2022,성수,38279,40288,78567
2022,건대입구,33133,34967,68100
2022,구의,22994,23412,46406
2022,잠실나루,14241,13950,28191
2022,잠실,64564,64198,128762
2022,봉천,23049,22130,45179
2022,신림,61183,60578,121761
2022,신대방,25558,25487,51045
2022,구로디지털단지,59603,59983,119586
2022,대림,23229,23905,47134
2022,신도림,45311,44128,89439
2022,문래,21661,21772,43433
2022,영등포구청,23372,23785,47157
2022,합정,29119,29771,58890
2022,홍대입구,50570,51028,101598
2022,이대,12291,13001,25292
2022,충정로,9849,10355,20204
2022,용답,2583,2660,5243
2022,신설동,3383,3380,6763
2022,양천구청,6722,7172,13894
2022,용두,2321,2465,4786
2022,용두,2349,2404,4753
2022,양천구청,6974,7320,14294
2022,신설동,3107,3241,6348
2022,용답,2569,2585,5154
2022,충정로,9857,10302,20159
2022,아현,9723,9511,19234
2022,이대,12524,13144,25668
2022,홍대입구,51102,52065,103167
2022,합정,29976,30890,60866
2022,당산,18089,20852,38941
2022,영등포구청,23506,24332,47838
2022,문래,21682,22147,43829
2022,신도림,46099,45475,91574
2022,대림,23459,24048,47507
2022,구로디지털단지,60453,60605,121058
2022,신대방,25837,25414,51251
2022,신림,62161,60911,123072
2022,봉천,23526,22135,45661
2022,사당,35643,38624,74267
2022,방배,16207,17181,33388
2022,교대,35021,39443,74464
2022,강남,89782,87751,177533
2022,삼성,53289,53589,106878
2022,잠실,67048,66552,133600
2022,잠실나루,14619,14153,28772
2022,구의,23893,23735,47628
2022,건대입구,33338,35426,68764
2022,성수,38592,41346,79938
2022,한양대,7083,7250,14333
2022,왕십리,15150,12317,27467
2022,상왕십리,14106,13867,27973
2022,신당,13142,13481,26623
2022,시청,24222,23215,47437
2022,구로디지털단지,61216,61080,122296
2022,신대방,25734,25379,51113
2022,신림,62548,62373,124921
2022,봉천,23578,22441,46019
2022,사당,36668,39637,76305
2022,방배,16914,17669,34583
2022,교대,36189,40801,76990
2022,강남,90594,87403,177997
2022,삼성,56330,55876,112206
2022,잠실,69130,68694,137824
2022,잠실나루,15639,14956,30595
2022,구의,24245,24253,48498
2022,건대입구,33779,35685,69464
2022,성수,40186,42157,82343
2022,한양대,7195,7433,14628
2022,왕십리,15848,12864,28712
2022,상왕십리,14684,14348,29032
2022,신당,13569,14258,27827
2022,시청,25606,24139,49745
2022,대림,23731,24232,47963
2022,용두,2341,2502,4843
2022,양천구청,6940,7493,14433
2022,신설동,3479,3553,7032
2022,용답,2582,2648,5230
2022,충정로,10254,10704,20958
2022,아현,9834,9750,19584
2022,이대,12796,13518,26314
2022,홍대입구,51993,53039,105032
2022,합정,31235,31814,63049
2022,당산,18267,21182,39449
2022,영등포구청,23894,24371,48265
2022,문래,22663,22653,45316
2022,신도림,47425,47296,94721
2022,용두,2466,2522,4988
2022,양천구청,6930,7353,14283
2022,신설동,3392,3558,6950
2022,용답,2727,2738,5465
2022,충정로,9797,10328,20125
2022,아현,9856,9584,19440
2022,이대,12714,13357,26071
2022,홍대입구,53551,54651,108202
2022,합정,31230,32291,63521
2022,당산,18206,21111,39317
2022,영등포구청,23554,24135,47689
2022,문래,21923,22405,44328
2022,신도림,47551,46788,94339
2022,대림,23382,23917,47299
2022,구로디지털단지,60461,60614,121075
2022,신대방,26130,25583,51713
2022,신림,63222,61648,124870
2022,봉천,23769,22294,46063
2022,사당,36242,39568,75810
2022,방배,16234,17152,33386
2022,교대,35367,40064,75431
2022,강남,89339,87282,176621
2022,삼성,54633,55286,109919
2022,잠실,68645,68286,136931
2022,잠실나루,14754,14335,29089
2022,구의,24105,23835,47940
2022,건대입구,34628,36305,70933
2022,성수,38950,42255,81205
2022,한양대,7056,7319,14375
2022,왕십리,15655,12912,28567
2022,상왕십리,14194,13999,28193
2022,신당,13600,13993,27593
2022,시청,24189,23385,47574
2022,용두,2638,2632,5270
2022,양천구청,7020,7331,14351
2022,신설동,3684,3827,7511
2022,용답,2731,2715,5446
2022,충정로,9741,10424,20165
2022,아현,10267,9775,20042
2022,이대,13181,13798,26979
2022,홍대입구,56189,58740,114929
2022,합정,33005,34126,67131
2022,당산,18649,21227,39876
2022,영등포구청,23396,24073,47469
2022,문래,21519,22047,43566
